id,year,quarter,name,type,count,amount
127,2024,2,Peer-to-peer payments,TOTAL,7929923251,23817818323139.0
128,2024,2,Recharge & bill payments,TOTAL,1443979969,1179029035046.0
129,2024,2,Financial Services,TOTAL,8865844,14501331707.0
130,2024,2,Others,TOTAL,8700101,8229697142.0
131,2024,3,Merchant payments,TOTAL,15826083595,7132485242978.0
132,2024,3,Peer-to-peer payments,TOTAL,8566984108,23963938754607.0
133,2024,3,Recharge & bill payments,TOTAL,1409788062,1224783540794.0
134,2024,3,Financial Services,TOTAL,10798565,17450358563.0
135,2024,3,Others,TOTAL,7361054,8309733368.0
136,2024,4,Merchant payments,TOTAL,17419191808,8081429560226.0
137,2024,4,Peer-to-peer payments,TOTAL,9368204284,26633866936498.0
138,2024,4,Recharge & bill payments,TOTAL,1392529171,1255972669825.0
139,2024,4,Financial Services,TOTAL,32113340,18162331751.0
140,2024,4,Others,TOTAL,7217236,9369386297.0
