id,year,quarter,state,count,amount
270,2019,4,jharkhand,18248618,28147748376.677704
271,2019,4,odisha,64995633,79769373632.04843
272,2019,4,bihar,43530314,93313426577.80905
273,2019,4,kerala,12498637,21151326637.805134
274,2019,4,karnataka,237796252,295047143447.23846
275,2019,4,chandigarh,1850915,4152513817.939354
276,2019,4,telangana,163572258,280746765547.7425
277,2019,4,himachal pradesh,3516646,7271163537.248161
278,2019,4,west bengal,96805838,88203610254.64601
279,2019,4,gujarat,42547632,76690662054.91542
280,2019,4,sikkim,767070,1176509601.6562185
281,2019,4,nagaland,317170,834537138.3487777
282,2019,4,mizoram,125239,368689350.6344881
283,2019,4,chhattisgarh,16305758,27143788737.21397
284,2019,4,jammu & kashmir,489928,1929695997.8225975
285,2019,4,goa,1515272,2923460348.4994645
286,2019,4,arunachal pradesh,459475,1190573179.5272837
287,2019,4,delhi,80744997,129024467424.89062
288,2019,4,uttarakhand,7362116,12573706305.150612
289,2020,1,puducherry,1207921,2205277477.079584
290,2020,1,tamil nadu,66953473,116569686179.4346
291,2020,1,uttar pradesh,97239132,172416434960.69037
292,2020,1,madhya pradesh,79366746,126737281436.18526
293,2020,1,andhra pradesh,127677357,252737214289.0485
294,2020,1,tripura,924502,1588778806.3885012
295,2020,1,lakshadweep,5151,13502368.57450421
296,2020,1,manipur,818801,2598590380.8769474
297,2020,1,maharashtra,238944081,319995196718.0683
298,2020,1,dadra & nagar haveli & daman & diu,878579,1342763369.292519
299,2020,1,meghalaya,502283,1120134840.9078057
300,2020,1,andaman & nicobar islands,41298,161476312.2972747
301,2020,1,haryana,44036087,81976214558.24355
302,2020,1,rajasthan,102258812,190308238561.00217
303,2020,1,ladakh,116419,377639677.4457431
304,2020,1,punjab,15217784,31374185265.899654
305,2020,1,assam,8808860,20668428347.72898
306,2020,1,jharkhand,18282713,33611232153.269115
307,2020,1,odisha,53682307,91956798199.33679
308,2020,1,bihar,45081815,109256853527.24524
309,2020,1,kerala,15733522,26451084830.93425
310,2020,1,karnataka,271033890,353402054999.4004
311,2020,1,chandigarh,2262511,5126453070.016205
312,2020,1,telangana,199409525,371343780368.2118
313,2020,1,himachal pradesh,4144480,7419466751.122733
314,2020,1,west bengal,66250381,96653305190.9406
315,2020,1,gujarat,47326417,86995076621.90231
316,2020,1,sikkim,528118,1053476271.9444009
317,2020,1,nagaland,378051,894780028.7343724
318,2020,1,mizoram,153609,392077579.3496374
319,2020,1,chhattisgarh,19523991,32860597671.356686
320,2020,1,jammu & kashmir,921630,2937643176.534005
321,2020,1,goa,1881237,3410371231.9237647
322,2020,1,arunachal pradesh,567175,1381758681.3301477
323,2020,1,delhi,81747604,133616543642.58943
324,2020,1,uttarakhand,9131784,16158080258.987526
325,2020,2,puducherry,1033383,1960030980.4875922
326,2020,2,tamil nadu,51870110,95826508896.84135
327,2020,2,uttar pradesh,100851965,178744016130.31216
328,2020,2,madhya pradesh,76340573,147922015289.08447
329,2020,2,andhra pradesh,144917855,302583689746.5449
330,2020,2,tripura,1052520,1769175883.585958
331,2020,2,lakshadweep,7220,16942922.08594439
332,2020,2,manipur,1083068,3198936212.8055243
333,2020,2,maharashtra,184790761,296359517159.41614
334,2020,2,dadra & nagar haveli & daman & diu,973152,1302376453.8880572
335,2020,2,meghalaya,635395,1153735154.3383913
336,2020,2,andaman & nicobar islands,62962,169645001.41414702
337,2020,2,haryana,41781050,80711264923.94525
338,2020,2,rajasthan,101954656,193763273003.28284
339,2020,2,ladakh,155010,523792998.6520228
340,2020,2,punjab,14081294,30284654252.21334
341,2020,2,assam,10505199,19766300125.91926
342,2020,2,jharkhand,20141511,37486201975.923416
343,2020,2,odisha,50028576,91733036612.10583
344,2020,2,bihar,53386742,128806523628.85287
345,2020,2,kerala,16287967,25894078478.599953
346,2020,2,karnataka,213221712,321104877020.14185
347,2020,2,chandigarh,1528010,3847015729.690074
348,2020,2,telangana,152055143,321531839352.4224
349,2020,2,himachal pradesh,4695730,8036904762.544065
350,2020,2,west bengal,57676797,100099431877.35757
351,2020,2,gujarat,47420185,80387846359.49454
352,2020,2,sikkim,517731,1054618788.2612653
353,2020,2,nagaland,517566,1137674504.3478017
354,2020,2,mizoram,198462,457193433.4423174
355,2020,2,chhattisgarh,18820925,32268382206.900894
356,2020,2,jammu & kashmir,2635006,8265648939.258666
357,2020,2,goa,1482092,2183616430.016773
358,2020,2,arunachal pradesh,808774,1826716832.9849606
359,2020,2,delhi,66042018,107873438203.33162
360,2020,2,uttarakhand,9047770,16094187702.100985
361,2020,3,puducherry,1730902,3598080229.434597
362,2020,3,tamil nadu,70277825,143841415498.65747
363,2020,3,uttar pradesh,127405259,248689955423.05322
364,2020,3,madhya pradesh,108579881,205701679984.53757
365,2020,3,andhra pradesh,204902935,467084130584.93884
366,2020,3,tripura,1317885,2341819516.215885
367,2020,3,lakshadweep,8589,21306833.308656827
368,2020,3,manipur,1420168,4615976120.870485
369,2020,3,maharashtra,268310924,440307079012.4761
370,2020,3,dadra & nagar haveli & daman & diu,1138312,1749789114.9993598
371,2020,3,meghalaya,597579,1237059001.3830369
372,2020,3,andaman & nicobar islands,117483,338019446.3303601
373,2020,3,haryana,57938179,109567950445.72871
374,2020,3,rajasthan,149088676,293678306162.4698
375,2020,3,ladakh,228222,835487500.058193
376,2020,3,punjab,17209573,40123092147.81354
377,2020,3,assam,12397711,29831391259.543846
378,2020,3,jharkhand,27068473,50622615820.01348
379,2020,3,odisha,66033829,122463943804.29193
380,2020,3,bihar,71503748,173328865111.8144
381,2020,3,kerala,21758680,40164150651.95372
382,2020,3,karnataka,300360531,470740515696.6945
383,2020,3,chandigarh,2158086,5089809353.36507
384,2020,3,telangana,236372126,505961144755.88367
385,2020,3,himachal pradesh,5489876,10516054014.086905
386,2020,3,west bengal,79954504,156813355855.1383
387,2020,3,gujarat,59290179,111921752484.70932
388,2020,3,sikkim,596435,1400926728.6603994
389,2020,3,nagaland,736319,2009649143.1547942
390,2020,3,mizoram,254703,707944175.5046022
391,2020,3,chhattisgarh,24148539,41526744807.53401
392,2020,3,jammu & kashmir,3465898,11977229760.872362
393,2020,3,goa,1915531,3368343580.9446573
394,2020,3,arunachal pradesh,962827,2609938565.55822
395,2020,3,delhi,96491861,175163962804.6604
396,2020,3,uttarakhand,11818935,22103510968.006454
397,2020,4,puducherry,2716003,4930526217.671207
398,2020,4,tamil nadu,111179701,206473197500.99268
399,2020,4,uttar pradesh,178167517,357428826778.2578
400,2020,4,madhya pradesh,153652541,284275139772.3589
401,2020,4,andhra pradesh,286118552,654841546033.3186
402,2020,4,tripura,1651890,3182130996.2213116
403,2020,4,lakshadweep,11650,30111317.917080387
404,2020,4,manipur,1627852,5602224558.458768
405,2020,4,maharashtra,407621004,622155530832.2585
406,2020,4,dadra & nagar haveli & daman & diu,1817791,2700511100.828503
407,2020,4,meghalaya,754008,1804242572.1989727
408,2020,4,andaman & nicobar islands,224531,627282656.3148524
409,2020,4,haryana,83171439,159998504366.53964
410,2020,4,rajasthan,190283435,386034779836.48376
411,2020,4,ladakh,332134,1111963470.5079594
412,2020,4,punjab,22997925,53775406479.553894
413,2020,4,assam,15423454,40226611319.263756
414,2020,4,jharkhand,39431633,72805174830.04245
415,2020,4,odisha,92324950,178302663014.6175
