id,year,quarter,state,registered_users,app_opens
267,2019,4,ladakh,43108,470440
268,2019,4,punjab,3321742,47673880
269,2019,4,assam,1941220,26599449
270,2019,4,jharkhand,3281371,70181789
271,2019,4,odisha,6115537,189905719
272,2019,4,bihar,8342274,163998097
273,2019,4,kerala,3503938,40046033
274,2019,4,karnataka,15385416,569674870
275,2019,4,chandigarh,289590,4960441
276,2019,4,telangana,11220691,399239044
277,2019,4,himachal pradesh,985945,12637904
278,2019,4,west bengal,10885058,244326613
279,2019,4,gujarat,9323799,147973757
280,2019,4,sikkim,92972,1552004
281,2019,4,nagaland,93124,1454551
282,2019,4,mizoram,39809,529168
283,2019,4,chhattisgarh,2725900,57278977
284,2019,4,jammu & kashmir,673367,998572
285,2019,4,goa,353546,6290543
286,2019,4,arunachal pradesh,129321,2140340
287,2019,4,delhi,7289883,172682671
288,2019,4,uttarakhand,1752677,28853867
289,2020,1,puducherry,230908,3820943
290,2020,1,tamil nadu,10872368,179908753
291,2020,1,uttar pradesh,20136256,374282083
292,2020,1,madhya pradesh,10151371,262452480
293,2020,1,andhra pradesh,13022060,486513773
294,2020,1,tripura,299962,4063223
295,2020,1,lakshadweep,2772,21982
296,2020,1,manipur,177374,2175642
297,2020,1,maharashtra,26168390,615146568
298,2020,1,dadra & nagar haveli & daman & diu,218496,4195122
299,2020,1,meghalaya,113814,1716211
300,2020,1,andaman & nicobar islands,28368,193586
301,2020,1,haryana,7018770,157793468
302,2020,1,rajasthan,12142053,341815756
303,2020,1,ladakh,47790,590484
304,2020,1,punjab,3739502,53853710
305,2020,1,assam,2185938,33097892
306,2020,1,jharkhand,3651393,74014713
307,2020,1,odisha,6652970,175918622
308,2020,1,bihar,9351234,183868505
309,2020,1,kerala,4078316,46396398
310,2020,1,karnataka,17016980,626488036
311,2020,1,chandigarh,312887,5201211
312,2020,1,telangana,12306860,454723816
313,2020,1,himachal pradesh,1106025,14640104
314,2020,1,west bengal,11960822,207068218
315,2020,1,gujarat,10259843,165605122
316,2020,1,sikkim,104631,1697163
317,2020,1,nagaland,107143,1684520
318,2020,1,mizoram,46499,644683
319,2020,1,chhattisgarh,3016487,64224101
320,2020,1,jammu & kashmir,735408,4476894
321,2020,1,goa,391900,7147233
322,2020,1,arunachal pradesh,149066,2598321
323,2020,1,delhi,7826197,178263986
324,2020,1,uttarakhand,1943606,32631265
325,2020,2,puducherry,255600,3057608
326,2020,2,tamil nadu,12150786,144907447
327,2020,2,uttar pradesh,22498519,383703534
328,2020,2,madhya pradesh,11374423,253770044
329,2020,2,andhra pradesh,14319675,494341698
330,2020,2,tripura,336666,4443221
331,2020,2,lakshadweep,3187,29202
